rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
528,FC St. Pauli Ü40,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Senioren (320),17292,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
529,HG Hamburg-Barmbek III,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Männer Gruppe 2 (122),13428,4,0,0,0,0,0,0,0,0,0.0,,fussball.de
530,HL Buchholz08-Rosengarten Ü40,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Senioren (320),17292,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
531,HSG Bergedorf/Vm,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Männer Gruppe 2 (122),13428,5,0,0,0,0,0,0,0,0,0.0,,fussball.de
532,HSG Elbvororte II,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Männer Gruppe 1 (121),13427,3,0,0,0,0,0,0,0,0,0.0,,fussball.de
533,HT Norderstedt III,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Männer Gruppe 2 (122),13428,6,0,0,0,0,0,0,0,0,0.0,,fussball.de
534,HT Norderstedt Ü40 II,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Senioren (320),17292,3,0,0,0,0,0,0,0,0,0.0,,fussball.de
535,Hsv/Hamm 02,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Männer Gruppe 2 (122),13428,7,0,0,0,0,0,0,0,0,0.0,,fussball.de
536,Hsv/Hamm 02 II,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Männer Gruppe 1 (121),13427,4,0,0,0,0,0,0,0,0,0.0,,fussball.de
537,Hts/Bw96 Handball,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Männer Gruppe 1 (121),13427,5,0,0,0,0,0,0,0,0,0.0,,fussball.de
538,Niendorfer TSV,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Männer Gruppe 1 (121),13427,6,0,0,0,0,0,0,0,0,0.0,,fussball.de
539,Rellinger TV II,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Männer Gruppe 1 (121),13427,7,0,0,0,0,0,0,0,0,0.0,,fussball.de
540,SC Alstertal-Langenhorn Ü40,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Senioren (320),17292,4,0,0,0,0,0,0,0,0,0.0,,fussball.de
541,SG Altona,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Männer Gruppe 1 (121),13427,8,0,0,0,0,0,0,0,0,0.0,,fussball.de
542,SG HT16/SC Eilbek,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Männer Gruppe 2 (122),13428,8,0,0,0,0,0,0,0,0,0.0,,fussball.de
543,SG Hamburg-Nord III,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Männer Gruppe 1 (121),13427,9,0,0,0,0,0,0,0,0,0.0,,fussball.de
544,SG Hamburg-Nord IV,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Männer Gruppe 2 (122),13428,9,0,0,0,0,0,0,0,0,0.0,,fussball.de
545,SG Hamburg-Nord Ü40,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Senioren (320),17292,5,0,0,0,0,0,0,0,0,0.0,,fussball.de
546,SG Harburg,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Männer Gruppe 2 (122),13428,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
547,TH Eilbeck II,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Männer Gruppe 1 (121),13427,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
548,TH Eilbeck III,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Männer Gruppe 2 (122),13428,11,0,0,0,0,0,0,0,0,0.0,,fussball.de
549,TSC Wellingsbüttel,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Männer Gruppe 2 (122),13428,12,0,0,0,0,0,0,0,0,0.0,,fussball.de
550,TSC Wellingsbüttel Ü40,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Senioren (320),17292,6,0,0,0,0,0,0,0,0,0.0,,fussball.de
551,TSV Ellerbek III,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Männer Gruppe 1 (121),13427,11,0,0,0,0,0,0,0,0,0.0,,fussball.de
552,TSV Hohenhorst Ü40,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Senioren (320),17292,7,0,0,0,0,0,0,0,0,0.0,,fussball.de
553,TSV Uetersen II,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Männer Gruppe 1 (121),13427,12,0,0,0,0,0,0,0,0,0.0,,fussball.de
554,Walddörfer SV Ü40,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Senioren (320),17292,8,0,0,0,0,0,0,0,0,0.0,,fussball.de
555,HSG 91 Nortorf,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer Nord,12961,1,1,1,0,0,33,17,16,2,2.0,,fussball.de
556,TSV Gross Grönau,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer Süd,12964,1,1,1,0,0,34,19,15,2,2.0,,fussball.de
557,HSG Schülp/Westerrönfeld/Rendsburg II,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer Nord,12961,2,1,1,0,0,39,29,10,2,2.0,,fussball.de
558,TUS Neuhofen,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,M-BOL 2,12483,1,1,1,0,0,33,23,10,2,2.0,,fussball.de
559,HSG Mutterstadt/Ruchheim,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,M-BOL 1,12482,2,1,1,0,0,31,23,8,2,2.0,,fussball.de
560,SG Handball Neumünster,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer West,12963,1,1,1,0,0,30,22,8,2,2.0,,fussball.de
561,HSG Fockbek/Nübbel/Alt Duvenstedt,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer Nord,12961,3,1,1,0,0,35,28,7,2,2.0,,fussball.de
562,MSG Iggelheim/Meckenheim 2,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,M-BOL 2,12483,2,1,1,0,0,34,27,7,2,2.0,,fussball.de
563,HSG WABO 2011,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer Ost,12962,1,1,1,0,0,33,27,6,2,2.0,,fussball.de
564,MSG Niederfeld/Oggersheim,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,M-BOL 2,12483,3,1,1,0,0,31,26,5,2,2.0,,fussball.de
565,HSG Kremperheide/Münsterdorf II,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer West,12963,2,1,1,0,0,28,23,5,2,2.0,,fussball.de
566,SG Kollmar/Neuendorf,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer West,12963,3,1,1,0,0,32,28,4,2,2.0,,fussball.de
567,HSG Worms,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,M-BOL 1,12482,3,1,1,0,0,32,29,3,2,2.0,,fussball.de
568,MTV Lübeck III,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer Süd,12964,2,1,1,0,0,32,29,3,2,2.0,,fussball.de
569,HSG Landau/Land 2,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,M-BOL 2,12483,4,1,1,0,0,24,21,3,2,2.0,,fussball.de
570,HSG 24109,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer Ost,12962,2,1,1,0,0,21,18,3,2,2.0,,fussball.de
571,SG Saulheim 2,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,M-BOL 1,12482,1,2,2,0,0,33,28,5,4,2.0,,fussball.de
572,HSG Holsteinische Schweiz II,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer Süd,12964,3,1,1,0,0,33,31,2,2,2.0,,fussball.de
573,TuS Aumühle-Wohltorf II,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer Süd,12964,4,1,1,0,0,28,26,2,2,2.0,,fussball.de
574,Suchsdorfer SV,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer Ost,12962,3,1,1,0,0,27,25,2,2,2.0,,fussball.de
575,SG Dithmarschen SÜD,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer West,12963,4,1,1,0,0,24,22,2,2,2.0,,fussball.de
576,TSV Weddingstedt II,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer West,12963,5,1,1,0,0,30,29,1,2,2.0,,fussball.de
577,TS Rodalben M1,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,M-BOL 2,12483,5,1,1,0,0,28,27,1,2,2.0,,fussball.de
578,HSG Rhein-Nahe Bingen 2,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,M-BOL 1,12482,4,1,1,0,0,26,25,1,2,2.0,,fussball.de
579,DHK Flensborg II,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer Nord,12961,4,1,1,0,0,23,22,1,2,2.0,,fussball.de
580,HC Einheit Plauen II,HR Südwestsachsen,HR Südwestsachsen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,ROL Männer · HR Südwestsachsen,12709,1,1,0,1,0,0,0,0,1,1.0,,fussball.de
581,HSV Rheydt,HK Krefeld-Grenzland,HK Krefeld-Grenzland,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,BOL Männer,15673,1,1,0,1,0,0,0,0,1,1.0,,fussball.de
582,TV Beckrath 1898 E.V.,HK Krefeld-Grenzland,HK Krefeld-Grenzland,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,BOL Männer,15673,2,1,0,1,0,0,0,0,1,1.0,,fussball.de
583,USG Chemnitz,HR Südwestsachsen,HR Südwestsachsen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,ROL Männer · HR Südwestsachsen,12709,2,1,0,1,0,0,0,0,1,1.0,,fussball.de
584,1. HC Quickborn,Hamburger Handballverband,Hamburger Handballverband,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Männer Gruppe 1 (131),13431,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
585,2.Herren,Hamburger Handballverband,Hamburger Handballverband,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Männer Gruppe 4 (134),13436,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
586,ASC Dortmund II,KÜS Ruhrgebiet SÜD,KÜS Ruhrgebiet SÜD,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,KÜS Bezirksliga Mitte,14340,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
587,ASV Senden II,Handballkreis Münsterland,Handballkreis Münsterland,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksliga Münsterland Männer,13224,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
588,ATV Biesel,HK Krefeld-Grenzland,HK Krefeld-Grenzland,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,BOL Männer,15673,3,0,0,0,0,0,0,0,0,0.0,,fussball.de
589,ATV Biesel II,HK Krefeld-Grenzland,HK Krefeld-Grenzland,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,BOL Männer,15673,4,0,0,0,0,0,0,0,0,0.0,,fussball.de
590,Adler Königshof 2M,HK Krefeld-Grenzland,HK Krefeld-Grenzland,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,BOL Männer,15673,5,0,0,0,0,0,0,0,0,0.0,,fussball.de
591,Ahrensburger TSV II,Hamburger Handballverband,Hamburger Handballverband,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Männer Staffel 3 (133),13437,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
592,Allgemeiner Sportverein Hamm-Westfalen e.V. III,Handballkreis Hellweg,Handballkreis Hellweg,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Männer Bezirksliga HKH,12662,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
593,Alstadener TUS II,HK Rhein-Ruhr,HK Rhein-Ruhr,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,REGIONSOBERLIGA MÄNNER,12778,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
594,BSG Wismut AUE,HR Südwestsachsen,HR Südwestsachsen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,ROL Männer · HR Südwestsachsen,12709,3,0,0,0,0,0,0,0,0,0.0,,fussball.de
595,BSV Limbach-O. II,HR Südwestsachsen,HR Südwestsachsen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,ROL Männer · HR Südwestsachsen,12709,4,0,0,0,0,0,0,0,0,0.0,,fussball.de
596,BTB Aachen IV,HK Aachen-Düren,HK Aachen-Düren,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Regionsoberliga,14717,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
597,Barmstedter MTV II,Hamburger Handballverband,Hamburger Handballverband,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Männer Gruppe 1 (131),13431,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
598,Bergische Panther III,HK Essen,HK Essen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Staffel Süd - BEZIRKSOBERLIGA / KREISOBERLIGA / REGIONSOBERLIGA Männer ( HK Essen),16008,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
599,Bergischer HC,HK Essen,HK Essen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Staffel Süd - BEZIRKSOBERLIGA / KREISOBERLIGA / REGIONSOBERLIGA Männer ( HK Essen),16008,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
600,Burgstädter HC,HR Südwestsachsen,HR Südwestsachsen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,ROL Männer · HR Südwestsachsen,12709,5,0,0,0,0,0,0,0,0,0.0,,fussball.de
601,CVJM Oberwiehl II,HK Oberberg,HK Oberberg,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Regionsoberliga Männer · HK Oberberg,12955,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
602,CVJM Waldbröl,HK Oberberg,HK Oberberg,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Regionsoberliga Männer · HK Oberberg,12955,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
603,Croatia Hamburg,Hamburger Handballverband,Hamburger Handballverband,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Männer Gruppe 4 (134),13436,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
604,Cronenberger TG II,HK Essen,HK Essen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Staffel Nord- BEZIRKSOBERLIGA / KREISOBERLIGA / REGIONSOBERLIGA Männer ( HK Essen),16926,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
605,Cronenberger TG III,HK Essen,HK Essen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Staffel Süd - BEZIRKSOBERLIGA / KREISOBERLIGA / REGIONSOBERLIGA Männer ( HK Essen),16008,3,0,0,0,0,0,0,0,0,0.0,,fussball.de
606,DJK GRÜN Weiss Werden 2.M,HK Essen,HK Essen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Staffel Nord- BEZIRKSOBERLIGA / KREISOBERLIGA / REGIONSOBERLIGA Männer ( HK Essen),16926,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
607,DJK SG Boesperde II,KÜS Ruhrgebiet SÜD,KÜS Ruhrgebiet SÜD,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,KÜS Bezirksliga Mitte,14340,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
608,DJK Tura 05 Dümpten,HK Rhein-Ruhr,HK Rhein-Ruhr,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,REGIONSOBERLIGA MÄNNER,12778,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
609,DJK VFR Mülheim Saarn II,HK Rhein-Ruhr,HK Rhein-Ruhr,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,REGIONSOBERLIGA MÄNNER,12778,3,0,0,0,0,0,0,0,0,0.0,,fussball.de
610,DJK Welper,KÜS Ruhrgebiet SÜD,KÜS Ruhrgebiet SÜD,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,KÜS Bezirksliga Ruhrgebiet,14338,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
611,DJK Winfried Huttrop,HK Essen,HK Essen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Staffel Nord- BEZIRKSOBERLIGA / KREISOBERLIGA / REGIONSOBERLIGA Männer ( HK Essen),16926,3,0,0,0,0,0,0,0,0,0.0,,fussball.de
612,DJK/MJC Trier II,Mosel/Eifel-Nahe/Hunsrück,Mosel/Eifel-Nahe/Hunsrück,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Mosel/Eifel-Nahe/Hunsrück,14543,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
613,ESV Dresden II,HR Sachsen-Mitte,HR Sachsen-Mitte,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,ROL Männer,13101,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
614,ETV Hamburg II,Hamburger Handballverband,Hamburger Handballverband,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Männer Staffel 3 (133),13437,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
615,ETV Hamburg III,Hamburger Handballverband,Hamburger Handballverband,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Männer Gruppe 2 (132),13433,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
616,Eagles Niederrhein II,HK Krefeld-Grenzland,HK Krefeld-Grenzland,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,BOL Männer,15673,6,0,0,0,0,0,0,0,0,0.0,,fussball.de
617,Elmshorner HT,Hamburger Handballverband,Hamburger Handballverband,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Männer Gruppe 1 (131),13431,3,0,0,0,0,0,0,0,0,0.0,,fussball.de
618,Eschweiler SG II,HK Aachen-Düren,HK Aachen-Düren,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Regionsoberliga,14717,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
619,FC St. Pauli IV,Hamburger Handballverband,Hamburger Handballverband,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Männer Staffel 3 (133),13437,3,0,0,0,0,0,0,0,0,0.0,,fussball.de
620,FC St. Pauli V,Hamburger Handballverband,Hamburger Handballverband,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Männer Gruppe 2 (132),13433,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
621,FT Vorwärts KIEL,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer Ost,12962,4,0,0,0,0,0,0,0,0,0.0,,fussball.de
622,Fortschritt Mittweida,HR Südwestsachsen,HR Südwestsachsen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,ROL Männer · HR Südwestsachsen,12709,6,0,0,0,0,0,0,0,0,0.0,,fussball.de
623,GW Mendig II,Rhein/Westerwald,Rhein/Westerwald,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Rhein/Westerwald,13124,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
624,Gettorfer TV,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer Ost,12962,5,0,0,0,0,0,0,0,0,0.0,,fussball.de
625,Godesberger TV,HK Bonn-Euskirchen-Sieg,HK Bonn-Euskirchen-Sieg,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer,12899,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
626,HBD Löwen Oberberg II,HK Oberberg,HK Oberberg,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Regionsoberliga Männer · HK Oberberg,12955,3,0,0,0,0,0,0,0,0,0.0,,fussball.de
627,HC Elbflorenz 2006 III,HR Sachsen-Mitte,HR Sachsen-Mitte,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,ROL Männer,13101,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
628,HC Essen West II,HK Essen,HK Essen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Staffel Nord- BEZIRKSOBERLIGA / KREISOBERLIGA / REGIONSOBERLIGA Männer ( HK Essen),16926,4,0,0,0,0,0,0,0,0,0.0,,fussball.de
629,HC Gelpe/Strombach III,HK Oberberg,HK Oberberg,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Regionsoberliga Männer · HK Oberberg,12955,4,0,0,0,0,0,0,0,0,0.0,,fussball.de
630,HC Grossenhain,HR Sachsen-Mitte,HR Sachsen-Mitte,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,ROL Männer,13101,3,0,0,0,0,0,0,0,0,0.0,,fussball.de
631,HC Heeren-Werve E.V.,Handballkreis Hellweg,Handballkreis Hellweg,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Männer Bezirksliga HKH,12662,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
632,HC Koblenz III,Rhein/Westerwald,Rhein/Westerwald,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Rhein/Westerwald,13124,2,0,0,0,0,0,0,0,0,0.0,,fussball.de
633,HC Sterkrade 75,HK Rhein-Ruhr,HK Rhein-Ruhr,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,REGIONSOBERLIGA MÄNNER,12778,4,0,0,0,0,0,0,0,0,0.0,,fussball.de
634,HC TV Rhede II,HK Wesel,HK Wesel,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Regionsoberliga Männer,13063,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
635,HC Treia/Jübek II,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer Nord,12961,5,0,0,0,0,0,0,0,0,0.0,,fussball.de
636,HC Weiden IV,HK Aachen-Düren,HK Aachen-Düren,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Regionsoberliga,14717,3,0,0,0,0,0,0,0,0,0.0,,fussball.de
637,HG Hamburg-Barmbek IV,Hamburger Handballverband,Hamburger Handballverband,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Männer Gruppe 4 (134),13436,3,0,0,0,0,0,0,0,0,0.0,,fussball.de
638,HG Hamburg-Barmbek IV,Hamburger Handballverband,Hamburger Handballverband,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Männer Staffel 3 (133),13437,4,0,0,0,0,0,0,0,0,0.0,,fussball.de
639,HG Hamburg-Barmbek IV,Hamburger Handballverband,Hamburger Handballverband,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Männer Staffel 3 (133),13437,5,0,0,0,0,0,0,0,0,0.0,,fussball.de
640,HG Kaarst / Büttgen,HK Krefeld-Grenzland,HK Krefeld-Grenzland,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,BOL Männer,15673,7,0,0,0,0,0,0,0,0,0.0,,fussball.de
641,HGV Hürth-Gleuel,HK Köln-Rheinberg,HK Köln-Rheinberg,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Regionsoberliga Männer · HK Köln-Rheinberg,12887,1,0,0,0,0,0,0,0,0,0.0,,fussball.de
